brand,line,product_name,variant,category,description,key_benefits,listed_on_current_2026_site,source_status,source_url,image_url,image_file,image_match_type,image_note
Jack Winn Pro,LumiGloss,LumiGloss Clear,Clear,Gloss/Toner,Restorative Express Toner shade,No lift; no mixing; no damage; colorless gloss,Yes,Current products page,https://jackwinnpro.com/products,https://cdn.raveretailer.com/32FD4738E9/2022/10/images/GSR_633b04c149f4d9683501664815825.jpg,jw_images/lumigloss_family.jpg,family,Shared LumiGloss family image used for all LumiGloss shades.
Jack Winn Pro,LumiGloss,LumiGloss Frost,Frost,Gloss/Toner,Restorative Express Toner shade,No lift; no mixing; no damage; icy blondes,Yes,Current products page,https://jackwinnpro.com/products,https://cdn.raveretailer.com/32FD4738E9/2022/10/images/GSR_633b04c149f4d9683501664815825.jpg,jw_images/lumigloss_family.jpg,family,Shared LumiGloss family image used for all LumiGloss shades.
Jack Winn Pro,LumiGloss,LumiGloss Honey,Honey,Gloss/Toner,Restorative Express Toner shade,No lift; no mixing; no damage; warm blondes,Yes,Current products page,https://jackwinnpro.com/products,https://cdn.raveretailer.com/32FD4738E9/2022/10/images/GSR_633b04c149f4d9683501664815825.jpg,jw_images/lumigloss_family.jpg,family,Shared LumiGloss family image used for all LumiGloss shades.
Jack Winn Pro,LumiGloss,LumiGloss Smoke,Smoke,Gloss/Toner,Restorative Express Toner shade,No lift; no mixing; no damage; blondes,Yes,Current products page,https://jackwinnpro.com/products,https://cdn.raveretailer.com/32FD4738E9/2022/10/images/GSR_633b04c149f4d9683501664815825.jpg,jw_images/lumigloss_family.jpg,family,Shared LumiGloss family image used for all LumiGloss shades.
Jack Winn Pro,LumiGloss,LumiGloss Champagne,Champagne,Gloss/Toner,Restorative Express Toner shade,No lift; no mixing; no damage; beige-y blondes,Yes,Current products page,https://jackwinnpro.com/products,https://cdn.raveretailer.com/32FD4738E9/2022/10/images/GSR_633b04c149f4d9683501664815825.jpg,jw_images/lumigloss_family.jpg,family,Shared LumiGloss family image used for all LumiGloss shades.
Jack Winn Pro,LumiGloss,LumiGloss Expreso,Expreso,Gloss/Toner,Restorative Express Toner shade,No lift; no mixing; no damage; deep brunettes,Yes,Current products page,https://jackwinnpro.com/products,https://cdn.raveretailer.com/32FD4738E9/2022/10/images/GSR_633b04c149f4d9683501664815825.jpg,jw_images/lumigloss_family.jpg,family,Shared LumiGloss family image used for all LumiGloss shades.
Jack Winn Pro,LumiGloss,LumiGloss Fire,Fire,Gloss/Toner,Restorative Express Toner shade,No lift; no mixing; no damage; warm reds,Yes,Current products page,https://jackwinnpro.com/products,https://cdn.raveretailer.com/32FD4738E9/2022/10/images/GSR_633b04c149f4d9683501664815825.jpg,jw_images/lumigloss_family.jpg,family,Shared LumiGloss family image used for all LumiGloss shades.
Jack Winn Pro,LumiGloss,LumiGloss Brick,Brick,Gloss/Toner,Restorative Express Toner shade,No lift; no mixing; no damage; vibrant reds and coppers,Yes,Current products page,https://jackwinnpro.com/products,https://cdn.raveretailer.com/32FD4738E9/2022/10/images/GSR_633b04c149f4d9683501664815825.jpg,jw_images/lumigloss_family.jpg,family,Shared LumiGloss family image used for all LumiGloss shades.
Jack Winn Pro,Fix,Fix Shampoo,,Shampoo,Peptide Repair System product,Repairing; healing; protecting,Yes,Current products page,https://jackwinnpro.com/products,https://cdn.raveretailer.com/32FD4738E9/2022/10/images/1000x1000/GSR_633de2f9da7b51014561665003785.png,jw_images/fix_shampoo.png,exact,Product image matched to Fix Shampoo.
Jack Winn Pro,Fix,Fix Conditioner,,Conditioner,Peptide Repair System product,Repairing; healing; protecting,Yes,Current products page,https://jackwinnpro.com/products,https://cdn.raveretailer.com/32FD4738E9/2022/10/images/1000x1000/GSR_633de2fe034e33555911665003790.png,jw_images/fix_conditioner.png,exact,Product image matched to Fix Conditioner.
Jack Winn Pro,Fix,Fix Leave-In,,Leave-In,Peptide Repair System product,Repairing; healing; protecting,Yes,Current products page,https://jackwinnpro.com/products,https://cdn.raveretailer.com/32FD4738E9/2022/10/images/1000x1000/GSR_633de301a178d2739831665003793.jpg,jw_images/fix_leave_in.jpg,exact,Product image matched to Fix Leave-In.
Jack Winn Pro,PrimeShine,PrimeShine,,Shine Serum,Vitamin-rich argan oil shine serum,Silkening; moisturizing; reparative,Yes,Current products page,https://jackwinnpro.com/products,https://images.squarespace-cdn.com/content/v1/6021d8e0e856a911d791197f/b1e7e3ae-be23-49cb-8eb7-dd8d67c1d6ce/Jack-winn-Primeshine-kwstudio.bozeman.png,jw_images/primeshine.webp,exact,Product image matched to PrimeShine.
Jack Winn Pro,Bam,Bam,,Humidity Armor,Anti-frizz styling/protection product,Silkening; smoothing; protecting,Yes,Current products page,https://jackwinnpro.com/products,https://images.squarespace-cdn.com/content/v1/6021d8e0e856a911d791197f/1614445837412-XKSPCP9CGK08JO4G5IVD/Jack-Winn_BAM-kwstudio.jpg,jw_images/bam.webp,exact,Product image matched to Bam.
Jack Winn Pro,Bawdy,Bawdy,,Boosting Cream,Volume-support styling cream,Volumizing; body boosting; strengthening,Yes,Current products page,https://jackwinnpro.com/products,https://cdn1.skinsafeproducts.com/photo/CA50554EE4AB58/large_1697191376.pngpng?1697191376=,jw_images/bawdy.png,exact,Product image matched to Bawdy.
